result csv file,frame number,video width (pixel),video height (pixel),solid white circle x (pixel),solid white circle y (pixel)
251009_T560_cal6_result_croppedDLC_resnet50_facial_directionDec27shuffle1_500000.csv,27,1920,1080,1576,676
251009_T560_cal6_result_croppedDLC_resnet50_facial_directionDec27shuffle1_500000.csv,69,1920,1080,1576,676
251009_T560_cal6_result_croppedDLC_resnet50_facial_directionDec27shuffle1_500000.csv,105,1920,1080,1576,676
251009_T560_cal6_result_croppedDLC_resnet50_facial_directionDec27shuffle1_500000.csv,122,1920,1080,1576,676
251009_T560_cal6_result_croppedDLC_resnet50_facial_directionDec27shuffle1_500000.csv,259,1920,1080,960,676
251009_T560_cal6_result_croppedDLC_resnet50_facial_directionDec27shuffle1_500000.csv,1568,1920,1080,960,676
251009_T560_cal6_result_croppedDLC_resnet50_facial_directionDec27shuffle1_500000.csv,598,1920,1080,344,676
251009_T560_cal6_result_croppedDLC_resnet50_facial_directionDec27shuffle1_500000.csv,1089,1920,1080,1576,290
251009_T560_cal6_result_croppedDLC_resnet50_facial_directionDec27shuffle1_500000.csv,2353,1920,1080,1576,290
251009_T560_cal6_result_croppedDLC_resnet50_facial_directionDec27shuffle1_500000.csv,885,1920,1080,960,290
251009_T560_cal6_result_croppedDLC_resnet50_facial_directionDec27shuffle1_500000.csv,1156,1920,1080,344,290
251009_T560_cal6_result_croppedDLC_resnet50_facial_directionDec27shuffle1_500000.csv,1988,1920,1080,344,290
251009_T565_cal6_result_croppedDLC_resnet50_facial_directionDec27shuffle1_500000.csv,243,1920,1080,1576,676
251009_T565_cal6_result_croppedDLC_resnet50_facial_directionDec27shuffle1_500000.csv,326,1920,1080,960,676
251009_T565_cal6_result_croppedDLC_resnet50_facial_directionDec27shuffle1_500000.csv,1598,1920,1080,960,676
251009_T565_cal6_result_croppedDLC_resnet50_facial_directionDec27shuffle1_500000.csv,491,1920,1080,344,676
251009_T565_cal6_result_croppedDLC_resnet50_facial_directionDec27shuffle1_500000.csv,1166,1920,1080,1576,290
251009_T565_cal6_result_croppedDLC_resnet50_facial_directionDec27shuffle1_500000.csv,940,1920,1080,960,290
251009_T565_cal6_result_croppedDLC_resnet50_facial_directionDec27shuffle1_500000.csv,2170,1920,1080,960,290
251009_T565_cal6_result_croppedDLC_resnet50_facial_directionDec27shuffle1_500000.csv,734,1920,1080,344,290
251009_T568_cal6_result_croppedDLC_resnet50_facial_directionDec27shuffle1_500000.csv,102,1920,1080,1576,676
251009_T568_cal6_result_croppedDLC_resnet50_facial_directionDec27shuffle1_500000.csv,2207,1920,1080,960,290
251009_T568_cal6_result_croppedDLC_resnet50_facial_directionDec27shuffle1_500000.csv,727,1920,1080,344,290
251009_T572_cal6_result_croppedDLC_resnet50_facial_directionDec27shuffle1_500000.csv,105,1920,1080,1576,676
251009_T572_cal6_result_croppedDLC_resnet50_facial_directionDec27shuffle1_500000.csv,302,1920,1080,960,676
251009_T572_cal6_result_croppedDLC_resnet50_facial_directionDec27shuffle1_500000.csv,488,1920,1080,344,676
251009_T572_cal6_result_croppedDLC_resnet50_facial_directionDec27shuffle1_500000.csv,1120,1920,1080,1576,290
251009_T572_cal6_result_croppedDLC_resnet50_facial_directionDec27shuffle1_500000.csv,696,1920,1080,344,290
251009_T573_cal6_result_croppedDLC_resnet50_facial_directionDec27shuffle1_500000.csv,90,1920,1080,1576,676
251009_T573_cal6_result_croppedDLC_resnet50_facial_directionDec27shuffle1_500000.csv,1373,1920,1080,1576,676
251009_T573_cal6_result_croppedDLC_resnet50_facial_directionDec27shuffle1_500000.csv,282,1920,1080,960,676
251009_T573_cal6_result_croppedDLC_resnet50_facial_directionDec27shuffle1_500000.csv,486,1920,1080,344,676
251009_T573_cal6_result_croppedDLC_resnet50_facial_directionDec27shuffle1_500000.csv,674,1920,1080,344,290
251009_T573_cal6_result_croppedDLC_resnet50_facial_directionDec27shuffle1_500000.csv,2003,1920,1080,344,290